timezone,interventionDuration,app,interventionType,isReIntervention,timestamp,resolution,timeIntervalUntilReIntervention
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750294361.7351642,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750297517.488817,openedApp,180.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750297710.9919639,openedApp,180.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750297897.331499,dismissedAppOpening,
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750297908.925544,openedApp,180.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750298098.019572,openedApp,360.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750298398.733068,openedApp,240.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750298691.22225,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750302561.907958,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750331135.690405,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750331449.822798,openedApp,180.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750336966.536855,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750337282.2371612,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750337591.371867,openedApp,180.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750337781.862045,openedApp,120.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750341430.339997,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750341500.861106,openedApp,240.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750341776.216883,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750349689.911419,openedApp,360.0
